Customer_ID,Age,Monthly_Income,Credit_Score,City,Gender,Contract_Type,Satisfaction_Level,Tenure_Months,Monthly_Usage_GB,Avg_Session_Minutes,Support_Calls,Application_Date,Economic_Index,Promo_Code,Churned
112629,49,6303.75,733.1,,Male,One year,Medium,21.0,86.18,31.28,3.0,2024-04-15,106.5,,0
137731,18,11778.13,647.9,ALEXANDRIA, female,One year,High,9.0,19.87,66.82,0.0,Jun 14 2024,105.25,,0
139992,60,11371.69,608.4,Giza,Female,Month-to-month,High,42.0,23.92,91.58,2.0,Jan 22 2024,102.88,,0
108526,35,21656.24,799.2,Giza,Female,Month-to-month,High,64.0,56.71,41.96,2.0,,101.29,,0
108280,44,11929.67,480.5,Alexandria,Female,One year,Medium,12.0,24.32,47.0,1.0,12/30/2025,102.3,VIP,0
151013,24,17472.56,548.8,Mansoura,Female,Month-to-month,Low,65.0,49.35,50.69,4.0,10/17/2025,105.38,,0
114872,49,5457.25,670.4,Cairo,Female,Month-to-month,Medium,5.0,64.42,42.4,3.0,2024-05-03,,,0
115128,34,9497.95,653.1,Cairo,Female,Month-to-month,Low,6.0,52.01,,2.0,2024-01-08,103.32,,0
109367,48,7323.34,614.5,Cairo,Female,Month-to-month,Medium,12.0,27.22,56.48,3.0,Dec 01 2024,102.29,,0
133323,21,9328.39,562.4,Cairo,Female,One year,Medium,23.0,15.89,37.8,4.0,Apr 02 2024,106.39,,0
153391,35,14120.55,663.6,Mansoura,Female,Month-to-month,High,72.0,74.06,51.81,0.0,05/24/2024,104.66,,0
121820,52,,637.6,Cairo,Male,Month-to-month,Medium,56.0,84.14,37.85,3.0,2025-02-27,104.71,,0
105027,38,3997.04,561.0,Cairo,Female,Month-to-month,Low,44.0,15.87,44.42,2.0,Dec 07 2024,102.33,,0
123429,35,19972.78,654.7,Cairo,Male,Month-to-month,Medium,49.0,70.06,56.68,3.0,Nov 25 2024,102.96,,0
145298,28,9613.9,571.1,Alexandria,Female,Month-to-month,Low,70.0,10.51,43.65,2.0,2024-04-17,105.16,,0
126355,28,6487.17,773.8,Mansoura,Male,Month-to-month,Medium,27.0,31.59,46.1,0.0,2026-03-24,,P10,0
130196,42,6692.97,768.9,Giza,Female,Month-to-month,Low,31.0,71.23,34.93,3.0,2026-02-17,101.77,,0
147039,34,10383.69,557.5,Alexandria,Male,One year,Low,14.0,41.64,56.04,1.0,2025-12-21,104.33,,0
120732,46,6120.66,624.4,Cairo,Male,MONTH-TO-MONTH,Low,21.0,31.67,30.93,2.0,Apr 06 2026,102.36,,0
134048,40,11464.14,664.6,Cairo,Male,Month-to-month,High,23.0,84.36,67.9,1.0,Dec 27 2024,101.36,,0
126065,35,21361.13,674.1,Mansoura,Female ,One year,Low,23.0,23.77,41.89,1.0,03/19/2024,105.35,,0
142470,52,6223.39,612.5,Aswan,Male,Month-to-month,Medium,23.0,77.39,,2.0,2024-08-06,103.55,,0
129747,37,3918.58,709.7,Cairo,Female,Month-to-month,Medium,19.0,100.32,42.21,3.0,Dec 19 2024,102.51,VIP,0
114523,37,12740.63,636.5,Alexandria,Male,One year,Low,60.0,31.85,36.47,1.0,05/07/2026,,,0
131573,29,6257.7,630.6,,Male,Month-to-month,High,27.0,254.12895913009433,27.46,1.0,2026-03-16,104.71,,0
154950,30,15840.65,607.6,Cairo,Female,Month-to-month,High,29.0,78.05,55.08,2.0,10/20/2025,105.36,,0
119369,24,16216.9,608.9,Mansoura,Female,Month-to-month,Low,20.0,59.72,64.92,1.0,2026-05-31,106.17,,0
103804,43,6981.2,642.8,Giza,Male,Month-to-month,Medium,21.0,17.49,50.34,2.0,Feb 01 2024,104.82,,0
153326,36,20398.76,717.6,Giza,Female,One year,High,46.0,53.93,40.9,0.0,08/29/2024,103.25,,0
114301,28,8505.67,660.4,Mansoura,Male, Month-to-month ,High,33.0,51.87,38.7,0.0,09/11/2025,105.07,,0
151302,21,8021.25,703.1,Giza,Female,Two year,Medium,29.0,47.44,42.71,3.0,07/31/2024,104.4,,0
109009,18,4193.74,663.1,Mansoura,Female,Month-to-month,High,52.0,,50.13,1.0,11/14/2024,101.34,,1
147522,60,21905.33,613.8,Giza,Male, Two year ,Low,16.0,92.84,44.46,3.0,Aug 14 2024,102.27,P10,0
125225,35,6177.28,786.4,Giza,Male,Two year,High,29.0,54.49,15.07,0.0,2024-04-25,107.69,,0
148922,37,8911.49,725.3,Cairo,Male,Month-to-month,High,37.0,108.68,49.62,3.0,2025-10-22,106.13,,0
137979,37,20184.63,605.4,Alexandria,Male,One year,Low,15.0,22.49,40.0,1.0,2025-03-03,104.34,,0
144172,35,26123.56,790.2,Mansoura,Male,Month-to-month,Medium,63.0,22.77,32.9,1.0,2025-01-08,102.33,,0
126304,24,57888.47,,Cairo,Male,One year,Low,43.0,115.93,58.13,6.0,2026-02-23,102.43,,0
119459,54,12799.32,673.9,Aswan,Female,Two year,Low,72.0,16.81,49.12,1.0,05/19/2026,104.02,,0
105370,60,18892.91,665.4,Cairo,Male,Month-to-month,Medium,55.0,43.82,53.83,2.0,06/19/2026,105.81,,0
150292,48,10834.96,660.5,Cairo,Female,Month-to-month,High,5.0,35.37,23.39,2.0,2025-09-23,106.52,,0
125952,34,6844.96,718.6,Mansoura,Female,Month-to-month,High,31.0,14.75,61.21,0.0,Feb 17 2026,103.27,,0
154909,44,5148.97,759.4,Cairo,Female,Month-to-month,High,15.0,39.27,50.49,2.0,2025-02-21,102.93,P10,0
156363,29,36680.28,588.9,Giza,Female,Month-to-month,Medium,46.0,25.35,34.02,2.0,07/14/2026,107.65,,0
132219,75,26616.35,639.2,Cairo,Male,Two year,Medium,30.0,38.13,57.31,2.0,05/11/2024,104.95,,0
102886,43,11824.34,717.7,Giza,Male,Month-to-month,High,28.0,9.06,53.63,5.0,2026-03-21,104.58,,1
136560,22,8916.03,649.8,Aswan,Male,Month-to-month,High,40.0,17.95,36.01,1.0,2025-02-21,102.15,,0
108967,35,16134.2,668.1,Aswan,Female,One year,Medium,68.0,16.36,28.23,1.0,07/15/2024,104.5,,0
146575,42,4920.26,587.8,Mansoura,Male,Month-to-month,Medium,60.0,50.55,45.08,2.0,05/25/2024,105.74,,0
110531,52,7188.8,652.3,Cairo,Male,Month-to-month,Low,17.0,70.21,45.09,3.0,Apr 28 2026,104.19,,0
144629,47,18682.99,537.5,Aswan,MALE,Month-to-month,High,45.0,14.34,51.94,1.0,2024-10-07,102.34,,0
100274,64,5876.78,745.9,,Male,Two year,Medium,22.0,,32.28,2.0,04/29/2024,105.71,P20,1
119270,23,,,Giza,Male,Month-to-month,High,28.0,32.69,47.31,2.0,2025-06-10,107.29,,0
136912,40,5473.66,632.7,Alexandria,Male,Month-to-month,High,40.0,27.81,36.92,1.0,2024-06-26,104.52,VIP,0
110122,35,41005.05,686.0,Alexandria,Female,One year,High,6.0,2.06,51.88,3.0,2026-03-10,102.51,,0
113291,18,20883.21,725.2,Cairo,Male,Month-to-month,Low,20.0,76.1,68.74,2.0,2025-05-13,105.95,,0
157607,39,20993.64,468.6,Mansoura,Female,Month-to-month,High,32.0,84.89,46.64,0.0,2026-07-18,107.1,,0
147190,30,14495.15,702.8,Mansoura,Female,Month-to-month,High,3.0,54.89,52.43,5.0,2024-10-12,101.59,,0
129210,33,17437.17,750.2,Alexandria,Female,Month-to-month,High,35.0,11.29,48.63,0.0,2025-03-07,103.46,VIP,0
142188,41,15288.2,649.8,Cairo,Female,Two year,Low,40.0,17.99,65.42,0.0,2025-11-16,104.65,,0
125387,62,6911.28,625.8,Alexandria,Male,One year,High,58.0,44.08,52.81,0.0,2025-11-01,104.67,,0
117006,41,5294.84,674.8,Giza,Female,Two year,Low,11.0,52.11,39.97,2.0,Nov 22 2024,102.0,,0
110982,,28157.53,719.1,Cairo,Female,Month-to-month,Medium,16.0,49.44,63.48,4.0,2026-02-10,103.65,,0
147314,37,20559.09,654.9,Cairo,Female,Two year,Low,12.0,110.21,53.73,3.0,05/26/2026,104.98,,0
127071,39,14476.95,576.8,Cairo,Female,Month-to-month,Medium,58.0,67.08,41.54,2.0,05/18/2026,105.91,,0
106686,,7161.93,474.9,Cairo,Female,Two year,Medium,10.0,53.19,30.87,3.0,Jun 29 2024,103.49,,0
154961,30,20348.36,489.7,Mansoura,Male,Month-to-month,Medium,13.0,15.21,45.98,1.0,2025-06-29,107.39,,0
158126,39,5600.4,571.2,Cairo,Male,Two year,Low,45.0,48.6,53.21,0.0,2024-02-14,106.01,,0
140701,34,27092.06,731.1,Alexandria,Female,Month-to-month, low ,54.0,30.54,58.32,2.0,2025-01-12,102.22,,0
113903,48,17623.37,643.6,Cairo,Male,Month-to-month,MEDIUM,16.0,38.22,74.44,1.0,2026-03-09,102.95,,0
131540,40,10632.87,653.7,Cairo,Female,One year,Low,24.0,26.08,42.17,4.0,2025-10-22,104.28,,1
149717,58,5655.91,711.8,Aswan,Male,One year,Medium,25.0,26.57,28.2,1.0,,107.5,,0
149520,33,17917.62,719.4,Giza,Female,Month-to-month,Low,72.0,31.66,60.18,4.0,05/09/2024,107.55,,0
151924,37,117012.94,580.6,Aswan,Female,Month-to-month,Low,65.0,22.33,57.98,1.0,01/07/2026,102.05,,0
103503,47,13685.53,585.1,Cairo,Female,Month-to-month,High,56.0,40.64,60.31,1.0,2025-08-01,106.94,,0
139337,33,4937.47,522.4,Cairo,Male,Month-to-month,Medium,36.0,64.46,52.29,1.0,Jul 23 2024,106.46,,0
102219,31,4412.94,587.1,Alexandria,Male,One year,Medium,27.0,62.15,63.26,6.0,2025-10-13,105.14,,0
118506,20,6949.36,814.2,Giza,Male,Month-to-month,Medium,33.0,,60.81,4.0,2025-09-16,107.77,,0
110690,32,3196.06,719.5,Giza,Female,Month-to-month,Medium,20.0,25.01,46.61,2.0,Mar 18 2026,103.39,,0
121378,44,18716.92,580.3,Giza,Female,One year,Medium,30.0,61.51,37.35,2.0,2026-06-29,107.36,,0
101867,36,8253.34,671.0,Cairo,Female,Two year,Medium,32.0,79.35,61.77,3.0,2025-05-08,105.59,,0
120193,46,12709.15,465.9,Giza,Male,Month-to-month,Low,65.0,31.0,75.57,3.0,2024-06-27,104.92,,0
128871,38,24766.18,783.8,Giza,Female,One year,Low,43.0,74.84,41.29,4.0,2025-10-14,105.67,,0
152204,46,15697.07,550.3,Alexandria,Male,Month-to-month,Medium,72.0,32.39,39.73,1.0,2024-09-02,102.07,,1
103868,59,12236.67,511.1,Cairo,Male,Month-to-month,Medium,12.0,7.91,40.67,1.0,Jun 01 2024,105.73,,0
103223,19,60273.27,717.9,Giza,Female,Month-to-month,Medium,16.0,20.39,47.46,0.0,2026-04-13,103.04,P20,0
121786,44,8767.54,716.6,Cairo,Female,Two year,Low,37.0,188.23,76.04,5.0,2025-05-18,107.26,,0
120985,59,15323.14,689.5,Giza,Male,One year,Low,11.0,63.91,42.22,1.0,Dec 18 2025,103.28,,0
148540,39,8977.18,682.0,Cairo,Female,Month-to-month,Medium,62.0,43.11,71.01,0.0,Dec 13 2025,102.18,,0
140695,62,7984.54,554.9,Mansoura,Male,Month-to-month,Medium,20.0,128.04,40.16,2.0,12/19/2025,103.94,,0
108441,27,4597.81,666.8,Alexandria,Male,Month-to-month,Low,13.0,82.25,53.25,4.0,,105.37,,0
109952,52,6447.98,690.6,Cairo,Male,One year,High,38.0,48.52,46.0,3.0,2026-04-06,104.4,,0
101335,44,4024.94,585.6,Alexandria,Male,Month-to-month,Medium,33.0,57.15,47.51,5.0,2025-02-03,103.09,,0
132573,65,48288.54,792.2,Alexandria,Male,Month-to-month,LOW,18.0,38.33,49.27,,2025-04-19,105.35,,0
128345,27,9304.92,700.4,Alexandria,Female,Two year, low ,50.0,16.98,36.9,2.0,11/27/2025,103.71,,0
